"","OUT","EXPO","Estimate","Std. Error","t value","Pr(>|t|)","AIC","BIC","Lower","Upper"
"212","Lan-Sem","score_dmt_year",-0.00180223764890378,0.00962887095301951,-0.187170194480446,0.851658073061424,1574.87550609215,1604.42536320257,-0.0206744779286059,0.0170700026307983
"312","Lan-Sem","sex",-0.73480446768413,0.410578834118621,-1.78967936635486,0.0745487742753984,1574.87550609215,1604.42536320257,-1.53952419537107,0.069915260002811
"412","Lan-Sem","age",-0.0134077375181812,0.0147572531887306,-0.90855238076555,0.364340864589825,1574.87550609215,1604.42536320257,-0.0423314222788321,0.0155159472424697
"512","Lan-Sem","edu_co",0.27225797729803,0.0531887421776286,5.11871433975258,5.61097114603022e-07,1574.87550609215,1604.42536320257,0.168009958246892,0.376505996349169
"612","Lan-Sem","p1ex",0.0277700187126017,0.395615550952203,0.0701944568300269,0.944087265701801,1574.87550609215,1604.42536320257,-0.747622212877687,0.80316225030289
"712","Lan-Sem","dri_gr_2",-0.12796738972853,0.409872036182228,-0.312213028535657,0.755102998308014,1574.87550609215,1604.42536320257,-0.931301818915793,0.675367039458734
"213","Lan-Sem","score_lch_year",-0.0248098794954112,0.0174914248983217,-1.4184024251673,0.157147035218424,1572.85806870506,1602.40792581549,-0.059092442334409,0.00947268334358654
"313","Lan-Sem","sex",-0.788869301814661,0.407102976445133,-1.93776353271389,0.0536227015212096,1572.85806870506,1602.40792581549,-1.58677647364618,0.0090378700168563
"413","Lan-Sem","age",-0.0139906494449684,0.0147080028164321,-0.951227003392853,0.342281252115761,1572.85806870506,1602.40792581549,-0.042817805249689,0.0148365063597523
"513","Lan-Sem","edu_co",0.275436649900671,0.0530527349068415,5.19175213840204,3.926434455578e-07,1572.85806870506,1602.40792581549,0.171455200201911,0.379418099599431
"613","Lan-Sem","p1ex",-0.00201028952730871,0.394759798752805,-0.00509243730911802,0.995940341723756,1572.85806870506,1602.40792581549,-0.775725277627085,0.771704698572468
"713","Lan-Sem","dri_gr_2",-0.140461762055512,0.408573148871653,-0.343786081986595,0.731256291499146,1572.85806870506,1602.40792581549,-0.941250418894073,0.66032689478305
"214","Lan-Sem","score_pfn_year",0.000609362971992138,0.00594273932935313,0.102539071330673,0.918399668398155,1574.90061436493,1604.45047147535,-0.0110381920830497,0.012256918027034
"314","Lan-Sem","sex",-0.71625756402748,0.411388514480758,-1.74107331346262,0.082731239771704,1574.90061436493,1604.45047147535,-1.5225642360632,0.0900491080082402
"414","Lan-Sem","age",-0.0131428630801642,0.0148568176471432,-0.884635148139645,0.377086298287823,1574.90061436493,1604.45047147535,-0.0422616905934441,0.0159759644331156
"514","Lan-Sem","edu_co",0.272422726254744,0.0532874254675897,5.11232666739428,5.78784623549836e-07,1574.90061436493,1604.45047147535,0.167981291509406,0.376864161000082
"614","Lan-Sem","p1ex",0.0256339395268452,0.395750558362778,0.0647729712192773,0.948399388765322,1574.90061436493,1604.45047147535,-0.750022901725817,0.801290780779508
"714","Lan-Sem","dri_gr_2",-0.130098021707272,0.410762856512506,-0.316722945233757,0.751681709249643,1574.90061436493,1604.45047147535,-0.935178426658577,0.674982383244033
"215","Lan-Sem","score_tfd_year",0.00352164874152015,0.00446809582513552,0.788176637060674,0.431237176006551,1574.27584525226,1603.82570236268,-0.00523565815521924,0.0122789556382596
"315","Lan-Sem","sex",-0.660221396988301,0.413212777744274,-1.59777584950893,0.111181860786203,1574.27584525226,1603.82570236268,-1.47010355931883,0.149660765342229
"415","Lan-Sem","age",-0.0121069264856409,0.0148163455016648,-0.817133110474544,0.414523147216278,1574.27584525226,1603.82570236268,-0.041146430051406,0.0169325770801242
"515","Lan-Sem","edu_co",0.27726702421891,0.0535326435259587,5.17940094037126,4.17191183636008e-07,1574.27584525226,1603.82570236268,0.17234497091081,0.38218907752701
"615","Lan-Sem","p1ex",0.0242141177677596,0.395193448620942,0.0612715566319649,0.951185147819307,1574.27584525226,1603.82570236268,-0.750350808455468,0.798779043990987
"715","Lan-Sem","dri_gr_2",-0.135935886352352,0.409589900187798,-0.331882906023866,0.740217409590552,1574.27584525226,1603.82570236268,-0.938717339151791,0.666845566447087
"216","Lan-Sem","score_gly_year",0.00537976322888577,0.00503011538526664,1.06951089922177,0.285728901091763,1573.74222265987,1603.29207977029,-0.00447908176431767,0.0152386082220892
"316","Lan-Sem","sex",-0.616311641985045,0.41719784754992,-1.47726467335453,0.140689839684459,1573.74222265987,1603.29207977029,-1.43400439761052,0.20138111364043
"416","Lan-Sem","age",-0.0118811845723796,0.014784094127165,-0.803646437190126,0.422259423625766,1573.74222265987,1603.29207977029,-0.0408574766056731,0.0170951074609139
"516","Lan-Sem","edu_co",0.28030601232395,0.0536332407490442,5.22634859294691,3.31109463333503e-07,1573.74222265987,1603.29207977029,0.175186792081657,0.385425232566242
"616","Lan-Sem","p1ex",0.000814028483269124,0.395570366486954,0.0020578601235944,0.998359481189272,1573.74222265987,1603.29207977029,-0.77448964318247,0.776117700149008
"716","Lan-Sem","dri_gr_2",-0.16809101110272,0.410848165526811,-0.409131706568983,0.682745002247644,1573.74222265987,1603.29207977029,-0.97333861864962,0.637156596444179
"217","Lan-Sem","score_man_year",0.00450840062592694,0.00224256573607774,2.01037613007151,0.0453170367153432,1570.80079162515,1600.35064873557,0.000113052550251002,0.00890374870160287
"317","Lan-Sem","sex",-0.503785186144208,0.417569307254918,-1.20647082386411,0.228619276901278,1570.80079162515,1600.35064873557,-1.32220598941319,0.314635617124771
